sim_GRNdb_Adult-Ascending-Colon_mixed_exp;sim_GRNdb_Adult-Ascending-Colon_mixed_exp;sim_GRNdb_Adult-Ascending-Colon_mixed_exp;sim_GRNdb_Adult-Ascending-Colon_mixed_exp
Technique;AUPR;AUROC;Mean
ARACNE;0.190830173999289;0.794639428523699;0.4927348012
BC3NET;0.239779516511298;0.801745550531012;0.5207625335
C3NET;0.161979046161395;0.748287880482048;0.4551334633
CLR;0.281558285320472;0.878505152295022;0.5800317188
KBOOST;0.0017809970216147;0.556620054166698;0.2792005255
LEAP;0.0088371946668753;0.539789968548315;0.2743135816
MRNETB;0.0390701188785939;0.877838146435426;0.4584541326
MRNET;0.0812642613869286;0.879659388134487;0.4804618247
NARROMI;0.0327529369226433;0.51788489143383;0.2753189141
PCIT;0.0010419418273605;0.5;0.2505209709
PIDC;0.0286814813125001;0.837057372111148;0.4328694267
PUC;0.0213593832343775;0.860552152016367;0.4409557676
RSNET;0.056152817422723;0.890524912488896;0.4733388649
BEST_GENECI;0.194216783910755;0.901047105732866;0.5476319448218104
MEDIAN_GENECI;0.179856576923677;0.886314614415721;0.533085595669699
MEAN;0.140118838896254;0.874849186599974;0.507484012748114
MEDIAN;0.0968859557467872;0.865136182783326;0.4810110692650566
