sim_RegNetwork_human_mixed_exp;sim_RegNetwork_human_mixed_exp;sim_RegNetwork_human_mixed_exp;sim_RegNetwork_human_mixed_exp;sim_RegNetwork_human_mixed_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.0370591697564518;0.571028722858692;0.3040439463;0 days 00:00:10.805001515
BC3NET;0.00544528474561361;0.504394315518176;0.2549198001;0 days 00:32:17.587382540
C3NET;0.0311646099574532;0.554501162331775;0.2928328861;0 days 00:00:39.809862034
CLR;0.10647067973739;0.86024624556734;0.4833584626;0 days 00:00:09.537891974
KBOOST;0.0155903406015691;0.651691119114673;0.3336407298;0 days 00:36:08.740831196
LEAP;0.034221801050793;0.6359697306638;0.3350957658;0 days 00:05:04.463540737
MRNETB;0.0749056361540025;0.846520951898973;0.4607132940;0 days 00:00:17.754493153
MRNET;0.0828710200563957;0.832914383244753;0.4578927016;0 days 00:00:10.403564877
NARROMI;0.0702788869482283;0.556215501252172;0.3132471941;0 days 00:13:12.367406929
PCIT;0.00391616835802132;0.5;0.2519580841;0 days 00:01:09.282924279
PIDC;0.0727121916155941;0.855805284282508;0.4642587379;0 days 00:08:45.219449211
PUC;0.0646250893634595;0.86347436814766;0.4640497287;0 days 00:07:49.605322466
RSNET;0.0452049787384225;0.645038129441332;0.3451215540;0 days 00:05:13.511985120
