sim_scale-free_size-100_knockout_exp;sim_scale-free_size-100_knockout_exp;sim_scale-free_size-100_knockout_exp;sim_scale-free_size-100_knockout_exp;sim_scale-free_size-100_knockout_exp
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.0488196330538208;0.535441198565447;0.2921304158;0 days 00:00:00.286510601
BC3NET;0.0662675006409938;0.564373116919312;0.3153203087;0 days 00:00:07.017671040
C3NET;0.0455844962025553;0.525827236557944;0.2857058663;0 days 00:00:00.494554595
CLR;0.0875161558468308;0.677449137467327;0.3824826466;0 days 00:00:00.302925453
CMI2NI;0.0591448026336256;0.667734247496012;0.3634395250;0 days 00:00:54.703917255
GENIE3_ET;0.0775001503177917;0.685665591248628;0.3815828707;0 days 00:00:53.808528476
GENIE3_RF;0.0831137868630396;0.68199433656494;0.3825540617;0 days 00:01:10.766733868
GRNBOOST2;0.0714168376387559;0.67921652374273;0.3753166806;0 days 00:00:10.821934736
GRNVBEM;0.0338301649427281;0.490406682348731;0.2621184236;0 days 00:03:09.155647132
INFERELATOR;0.0737933276088018;0.598635293362037;0.3362143104;0 days 00:06:05.267613841
KBOOST;0.0548944160292608;0.573800706266365;0.3143475611;0 days 00:00:00.606159308
LEAP;0.0511983270906578;0.599088322290514;0.3251433246;0 days 00:00:00.454913914
LOCPCACMI;0.0600545082214782;0.651580612196915;0.3558175602;0 days 00:01:03.986368329
MEOMI;0.0371236903741824;0.503582369261012;0.2703530298;0 days 00:01:42.331727943
MRNETB;0.0738722201319652;0.679490634917176;0.3766814275;0 days 00:00:00.611243700
MRNET;0.0791519041365879;0.679378237866566;0.3792650710;0 days 00:00:00.298613998
NARROMI;0.0539690140114475;0.531320929133659;0.2926449715;0 days 00:00:10.291881047
NONLINEARODES;0.0448080703492675;0.575566372178748;0.3101872212;0 days 00:00:16.785214650
PCACMI;0.0608289174702995;0.66796190886893;0.3643954131;0 days 00:00:14.258668468
PCIT;0.0354455445544554;0.5;0.2677227722;0 days 00:00:12.775044365
PIDC;0.0682509297058068;0.617887875913656;0.3430694028;0 days 00:00:11.170391618
PLSNET;0.0559525151747319;0.568078778863391;0.3120156470;0 days 00:00:55.467345727
PUC;0.0568452991773375;0.61298598821666;0.3349156436;0 days 00:00:13.817506089
RSNET;0.089309303813564;0.676807442061041;0.3830583729;0 days 00:00:09.732768325
TIGRESS;0.128085920848818;0.721788053569811;0.4249369872;0 days 00:01:36.381664036
