IRMA_switch-off;IRMA_switch-off;IRMA_switch-off;IRMA_switch-off;IRMA_switch-off
Technique;AUPR;AUROC;Mean;Time
ARACNE;0.26051524403496;0.465909090909091;0.3632121674;0 days 00:00:00.269424604
BC3NET;0.230447955079547;0.454545454545455;0.3424967048;0 days 00:01:00.041662311
C3NET;0.312383269107628;0.568181818181818;0.4402825436;0 days 00:00:00.360595478
CLR;0.320800714512393;0.613636363636364;0.4672185390;0 days 00:00:00.268731226
CMI2NI;0.455734378689128;0.772727272727273;0.6142308257;0 days 00:00:06.832932704
GENIE3_ET;0.413155474518975;0.727272727272727;0.5702141008;0 days 00:00:06.760549712
GENIE3_RF;0.319436633798666;0.636363636363636;0.4779001350;0 days 00:00:08.044611363
GRNBOOST2;0.67144893744541;0.863636363636364;0.7675426505;0 days 00:00:04.713033009
GRNVBEM;0.266666666666667;0.5;0.3833333333;0 days 00:00:06.185725167
INFERELATOR;0.409270130693437;0.681818181818182;0.5455441562;0 days 00:06:30.323267406
JUMP3;0.256834768905777;0.545454545454546;0.4011446571;0 days 00:00:10.789347599
KBOOST;0.519895017095505;0.840909090909091;0.6804020540;0 days 00:00:00.295471422
LEAP;0.38202595520436;0.647727272727273;0.5148766139;0 days 00:00:00.297938919
LOCPCACMI;0.289360672241797;0.534090909090909;0.4117257906;0 days 00:00:07.441679463
MEOMI;0.289360672241797;0.534090909090909;0.4117257906;0 days 00:00:13.010619165
MRNETB;0.337802783067529;0.613636363636364;0.4757195733;0 days 00:00:00.271983741
MRNET;0.26051524403496;0.465909090909091;0.3632121674;0 days 00:00:00.550099173
NARROMI;0.230447955079547;0.454545454545455;0.3424967048;0 days 00:00:09.375907727
NONLINEARODES;0.413259619490279;0.75;0.5816298097;0 days 00:00:01.618800026
PCACMI;0.455734378689128;0.772727272727273;0.6142308257;0 days 00:00:06.469799712
PCIT;0.266666666666667;0.5;0.3833333333;0 days 00:00:14.222525885
PIDC;0.277407060525959;0.590909090909091;0.4341580757;0 days 00:00:16.713938029
PLSNET;0.84195922651326;0.863636363636364;0.8527977950;0 days 00:00:07.998432900
PUC;0.231086813569183;0.465909090909091;0.3484979522;0 days 00:00:08.428197166
RSNET;0.495385636233288;0.795454545454545;0.6454200908;0 days 00:00:12.533683885
TIGRESS;0.412599608414135;0.772727272727273;0.5926634405;0 days 00:00:03.486336039
