IRMA_switch-off;IRMA_switch-off;IRMA_switch-off;IRMA_switch-off
Technique;AUPR;AUROC;Mean
ARACNE;0.26051524403496;0.465909090909091;0.3632121674
BC3NET;0.230447955079547;0.454545454545455;0.3424967048
C3NET;0.312383269107628;0.568181818181818;0.4402825436
CLR;0.320800714512393;0.613636363636364;0.467218539
CMI2NI;0.455734378689128;0.772727272727273;0.6142308257
GENIE3_ET;0.413155474518975;0.727272727272727;0.5702141008
GENIE3_RF;0.319436633798666;0.636363636363636;0.477900135
GRNBOOST2;0.67144893744541;0.863636363636364;0.7675426505
GRNVBEM;0.266666666666667;0.5;0.3833333333
INFERELATOR;0.409270130693437;0.681818181818182;0.5455441562
JUMP3;0.256834768905777;0.545454545454546;0.4011446571
KBOOST;0.519895017095505;0.840909090909091;0.680402054
LEAP;0.38202595520436;0.647727272727273;0.5148766139
LOCPCACMI;0.289360672241797;0.534090909090909;0.4117257906
MEOMI;0.289360672241797;0.534090909090909;0.4117257906
MRNETB;0.337802783067529;0.613636363636364;0.4757195733
MRNET;0.26051524403496;0.465909090909091;0.3632121674
NARROMI;0.230447955079547;0.454545454545455;0.3424967048
NONLINEARODES;0.413259619490279;0.75;0.5816298097
PCACMI;0.455734378689128;0.772727272727273;0.6142308257
PCIT;0.266666666666667;0.5;0.3833333333
PIDC;0.277407060525959;0.590909090909091;0.4341580757
PLSNET;0.84195922651326;0.863636363636364;0.852797795
PUC;0.231086813569183;0.465909090909091;0.3484979522
RSNET;0.495385636233288;0.795454545454545;0.6454200908
TIGRESS;0.412599608414135;0.772727272727273;0.5926634405
BEST_GENECI;0.426241624192479;0.795454545454545;0.610848084823512
MEDIAN_GENECI;0.28999087488457;0.613636363636364;0.451813619260467
MEAN;0.383153849500039;0.75;0.5665769247500195
MEDIAN;0.309069840808548;0.613636363636364;0.46135310222245596
